date,canal,format,segment,theme,copy,cta,asset
"2026-08-29","Blog","Article court","Livreurs","Livraison planifiée","La livraison locale fonctionne mieux avec des créneaux réalistes.","Voir livraison","/marketing/ads/delikreol-traiteurs-recrutement.svg"
"2026-08-30","Meta Ads","Annonce","Points relais","Plat local","Un produit, une histoire, un traiteur martiniquais.","Voir catalogue","/marketing/ads/delikreol-business-livraison.svg"
"2026-08-31","Instagram","Reel","Clients B2C","Commande WhatsApp","Prépare ta demande sur delikreol.com puis confirme sur WhatsApp.","Commander local","/marketing/ads/delikreol-b2c-whatsapp.svg"
"2026-09-01","Facebook","Post carrousel","Entreprises","Traiteur partenaire","Montre tes plats, reçois des demandes qualifiées, garde le contrôle.","Devenir partenaire","/marketing/ads/delikreol-traiteurs-recrutement.svg"
"2026-09-02","WhatsApp Status","Story","Traiteurs","Repas entreprise","Réunions et séminaires : repas créoles planifiés sur devis.","Demander un devis","/marketing/ads/delikreol-business-livraison.svg"
"2026-09-03","Blog","Article court","Livreurs","Livraison planifiée","La livraison locale fonctionne mieux avec des créneaux réalistes.","Voir livraison","/marketing/ads/delikreol-b2c-whatsapp.svg"
"2026-09-04","Meta Ads","Annonce","Points relais","Plat local","Un produit, une histoire, un traiteur martiniquais.","Voir catalogue","/marketing/ads/delikreol-traiteurs-recrutement.svg"
"2026-09-05","Instagram","Reel","Clients B2C","Commande WhatsApp","Prépare ta demande sur delikreol.com puis confirme sur WhatsApp.","Commander local","/marketing/ads/delikreol-business-livraison.svg"
"2026-09-06","Facebook","Post carrousel","Entreprises","Traiteur partenaire","Montre tes plats, reçois des demandes qualifiées, garde le contrôle.","Devenir partenaire","/marketing/ads/delikreol-b2c-whatsapp.svg"
"2026-09-07","WhatsApp Status","Story","Traiteurs","Repas entreprise","Réunions et séminaires : repas créoles planifiés sur devis.","Demander un devis","/marketing/ads/delikreol-traiteurs-recrutement.svg"
"2026-09-08","Blog","Article court","Livreurs","Livraison planifiée","La livraison locale fonctionne mieux avec des créneaux réalistes.","Voir livraison","/marketing/ads/delikreol-business-livraison.svg"
"2026-09-09","Meta Ads","Annonce","Points relais","Plat local","Un produit, une histoire, un traiteur martiniquais.","Voir catalogue","/marketing/ads/delikreol-b2c-whatsapp.svg"
"2026-09-10","Instagram","Reel","Clients B2C","Commande WhatsApp","Prépare ta demande sur delikreol.com puis confirme sur WhatsApp.","Commander local","/marketing/ads/delikreol-traiteurs-recrutement.svg"
"2026-09-11","Facebook","Post carrousel","Entreprises","Traiteur partenaire","Montre tes plats, reçois des demandes qualifiées, garde le contrôle.","Devenir partenaire","/marketing/ads/delikreol-business-livraison.svg"
"2026-09-12","WhatsApp Status","Story","Traiteurs","Repas entreprise","Réunions et séminaires : repas créoles planifiés sur devis.","Demander un devis","/marketing/ads/delikreol-b2c-whatsapp.svg"
"2026-09-13","Blog","Article court","Livreurs","Livraison planifiée","La livraison locale fonctionne mieux avec des créneaux réalistes.","Voir livraison","/marketing/ads/delikreol-traiteurs-recrutement.svg"
"2026-09-14","Meta Ads","Annonce","Points relais","Plat local","Un produit, une histoire, un traiteur martiniquais.","Voir catalogue","/marketing/ads/delikreol-business-livraison.svg"
"2026-09-15","Instagram","Reel","Clients B2C","Commande WhatsApp","Prépare ta demande sur delikreol.com puis confirme sur WhatsApp.","Commander local","/marketing/ads/delikreol-b2c-whatsapp.svg"
"2026-09-16","Facebook","Post carrousel","Entreprises","Traiteur partenaire","Montre tes plats, reçois des demandes qualifiées, garde le contrôle.","Devenir partenaire","/marketing/ads/delikreol-traiteurs-recrutement.svg"
"2026-09-17","WhatsApp Status","Story","Traiteurs","Repas entreprise","Réunions et séminaires : repas créoles planifiés sur devis.","Demander un devis","/marketing/ads/delikreol-business-livraison.svg"
"2026-09-18","Blog","Article court","Livreurs","Livraison planifiée","La livraison locale fonctionne mieux avec des créneaux réalistes.","Voir livraison","/marketing/ads/delikreol-b2c-whatsapp.svg"
"2026-09-19","Meta Ads","Annonce","Points relais","Plat local","Un produit, une histoire, un traiteur martiniquais.","Voir catalogue","/marketing/ads/delikreol-traiteurs-recrutement.svg"
"2026-09-20","Instagram","Reel","Clients B2C","Commande WhatsApp","Prépare ta demande sur delikreol.com puis confirme sur WhatsApp.","Commander local","/marketing/ads/delikreol-business-livraison.svg"
"2026-09-21","Facebook","Post carrousel","Entreprises","Traiteur partenaire","Montre tes plats, reçois des demandes qualifiées, garde le contrôle.","Devenir partenaire","/marketing/ads/delikreol-b2c-whatsapp.svg"
"2026-09-22","WhatsApp Status","Story","Traiteurs","Repas entreprise","Réunions et séminaires : repas créoles planifiés sur devis.","Demander un devis","/marketing/ads/delikreol-traiteurs-recrutement.svg"
"2026-09-23","Blog","Article court","Livreurs","Livraison planifiée","La livraison locale fonctionne mieux avec des créneaux réalistes.","Voir livraison","/marketing/ads/delikreol-business-livraison.svg"
"2026-09-24","Meta Ads","Annonce","Points relais","Plat local","Un produit, une histoire, un traiteur martiniquais.","Voir catalogue","/marketing/ads/delikreol-b2c-whatsapp.svg"
"2026-09-25","Instagram","Reel","Clients B2C","Commande WhatsApp","Prépare ta demande sur delikreol.com puis confirme sur WhatsApp.","Commander local","/marketing/ads/delikreol-traiteurs-recrutement.svg"
"2026-09-26","Facebook","Post carrousel","Entreprises","Traiteur partenaire","Montre tes plats, reçois des demandes qualifiées, garde le contrôle.","Devenir partenaire","/marketing/ads/delikreol-business-livraison.svg"
"2026-09-27","WhatsApp Status","Story","Traiteurs","Repas entreprise","Réunions et séminaires : repas créoles planifiés sur devis.","Demander un devis","/marketing/ads/delikreol-b2c-whatsapp.svg"
"2026-09-28","Blog","Article court","Livreurs","Livraison planifiée","La livraison locale fonctionne mieux avec des créneaux réalistes.","Voir livraison","/marketing/ads/delikreol-traiteurs-recrutement.svg"
"2026-09-29","Meta Ads","Annonce","Points relais","Plat local","Un produit, une histoire, un traiteur martiniquais.","Voir catalogue","/marketing/ads/delikreol-business-livraison.svg"
"2026-09-30","Instagram","Reel","Clients B2C","Commande WhatsApp","Prépare ta demande sur delikreol.com puis confirme sur WhatsApp.","Commander local","/marketing/ads/delikreol-b2c-whatsapp.svg"
"2026-10-01","Facebook","Post carrousel","Entreprises","Traiteur partenaire","Montre tes plats, reçois des demandes qualifiées, garde le contrôle.","Devenir partenaire","/marketing/ads/delikreol-traiteurs-recrutement.svg"
"2026-10-02","WhatsApp Status","Story","Traiteurs","Repas entreprise","Réunions et séminaires : repas créoles planifiés sur devis.","Demander un devis","/marketing/ads/delikreol-business-livraison.svg"
"2026-10-03","Blog","Article court","Livreurs","Livraison planifiée","La livraison locale fonctionne mieux avec des créneaux réalistes.","Voir livraison","/marketing/ads/delikreol-b2c-whatsapp.svg"
"2026-10-04","Meta Ads","Annonce","Points relais","Plat local","Un produit, une histoire, un traiteur martiniquais.","Voir catalogue","/marketing/ads/delikreol-traiteurs-recrutement.svg"
"2026-10-05","Instagram","Reel","Clients B2C","Commande WhatsApp","Prépare ta demande sur delikreol.com puis confirme sur WhatsApp.","Commander local","/marketing/ads/delikreol-business-livraison.svg"
"2026-10-06","Facebook","Post carrousel","Entreprises","Traiteur partenaire","Montre tes plats, reçois des demandes qualifiées, garde le contrôle.","Devenir partenaire","/marketing/ads/delikreol-b2c-whatsapp.svg"
"2026-10-07","WhatsApp Status","Story","Traiteurs","Repas entreprise","Réunions et séminaires : repas créoles planifiés sur devis.","Demander un devis","/marketing/ads/delikreol-traiteurs-recrutement.svg"
"2026-10-08","Blog","Article court","Livreurs","Livraison planifiée","La livraison locale fonctionne mieux avec des créneaux réalistes.","Voir livraison","/marketing/ads/delikreol-business-livraison.svg"
"2026-10-09","Meta Ads","Annonce","Points relais","Plat local","Un produit, une histoire, un traiteur martiniquais.","Voir catalogue","/marketing/ads/delikreol-b2c-whatsapp.svg"
"2026-10-10","Instagram","Reel","Clients B2C","Commande WhatsApp","Prépare ta demande sur delikreol.com puis confirme sur WhatsApp.","Commander local","/marketing/ads/delikreol-traiteurs-recrutement.svg"
"2026-10-11","Facebook","Post carrousel","Entreprises","Traiteur partenaire","Montre tes plats, reçois des demandes qualifiées, garde le contrôle.","Devenir partenaire","/marketing/ads/delikreol-business-livraison.svg"
"2026-10-12","WhatsApp Status","Story","Traiteurs","Repas entreprise","Réunions et séminaires : repas créoles planifiés sur devis.","Demander un devis","/marketing/ads/delikreol-b2c-whatsapp.svg"
"2026-10-13","Blog","Article court","Livreurs","Livraison planifiée","La livraison locale fonctionne mieux avec des créneaux réalistes.","Voir livraison","/marketing/ads/delikreol-traiteurs-recrutement.svg"
"2026-10-14","Meta Ads","Annonce","Points relais","Plat local","Un produit, une histoire, un traiteur martiniquais.","Voir catalogue","/marketing/ads/delikreol-business-livraison.svg"
"2026-10-15","Instagram","Reel","Clients B2C","Commande WhatsApp","Prépare ta demande sur delikreol.com puis confirme sur WhatsApp.","Commander local","/marketing/ads/delikreol-b2c-whatsapp.svg"
"2026-10-16","Facebook","Post carrousel","Entreprises","Traiteur partenaire","Montre tes plats, reçois des demandes qualifiées, garde le contrôle.","Devenir partenaire","/marketing/ads/delikreol-traiteurs-recrutement.svg"
"2026-10-17","WhatsApp Status","Story","Traiteurs","Repas entreprise","Réunions et séminaires : repas créoles planifiés sur devis.","Demander un devis","/marketing/ads/delikreol-business-livraison.svg"
"2026-10-18","Blog","Article court","Livreurs","Livraison planifiée","La livraison locale fonctionne mieux avec des créneaux réalistes.","Voir livraison","/marketing/ads/delikreol-b2c-whatsapp.svg"
"2026-10-19","Meta Ads","Annonce","Points relais","Plat local","Un produit, une histoire, un traiteur martiniquais.","Voir catalogue","/marketing/ads/delikreol-traiteurs-recrutement.svg"
"2026-10-20","Instagram","Reel","Clients B2C","Commande WhatsApp","Prépare ta demande sur delikreol.com puis confirme sur WhatsApp.","Commander local","/marketing/ads/delikreol-business-livraison.svg"
"2026-10-21","Facebook","Post carrousel","Entreprises","Traiteur partenaire","Montre tes plats, reçois des demandes qualifiées, garde le contrôle.","Devenir partenaire","/marketing/ads/delikreol-b2c-whatsapp.svg"
"2026-10-22","WhatsApp Status","Story","Traiteurs","Repas entreprise","Réunions et séminaires : repas créoles planifiés sur devis.","Demander un devis","/marketing/ads/delikreol-traiteurs-recrutement.svg"
"2026-10-23","Blog","Article court","Livreurs","Livraison planifiée","La livraison locale fonctionne mieux avec des créneaux réalistes.","Voir livraison","/marketing/ads/delikreol-business-livraison.svg"
"2026-10-24","Meta Ads","Annonce","Points relais","Plat local","Un produit, une histoire, un traiteur martiniquais.","Voir catalogue","/marketing/ads/delikreol-b2c-whatsapp.svg"
"2026-10-25","Instagram","Reel","Clients B2C","Commande WhatsApp","Prépare ta demande sur delikreol.com puis confirme sur WhatsApp.","Commander local","/marketing/ads/delikreol-traiteurs-recrutement.svg"
"2026-10-26","Facebook","Post carrousel","Entreprises","Traiteur partenaire","Montre tes plats, reçois des demandes qualifiées, garde le contrôle.","Devenir partenaire","/marketing/ads/delikreol-business-livraison.svg"
"2026-10-27","WhatsApp Status","Story","Traiteurs","Repas entreprise","Réunions et séminaires : repas créoles planifiés sur devis.","Demander un devis","/marketing/ads/delikreol-b2c-whatsapp.svg"
"2026-10-28","Blog","Article court","Livreurs","Livraison planifiée","La livraison locale fonctionne mieux avec des créneaux réalistes.","Voir livraison","/marketing/ads/delikreol-traiteurs-recrutement.svg"
"2026-10-29","Meta Ads","Annonce","Points relais","Plat local","Un produit, une histoire, un traiteur martiniquais.","Voir catalogue","/marketing/ads/delikreol-business-livraison.svg"
